label,normalized_topic,source_path,suggested_canonical,bucket,action,reason
2026-02-10-wave5d-recovered,voiceos-service-refactoring-summary,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/status/VoiceOS-Service-Refactoring-Summary-51510-V1.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/architecture/VoiceOS-Service-Refactoring-Summary-51510-V1.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,branch-vos4-legacyintegration-status,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/status/BRANCH-vos4-legacyintegration-STATUS.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/reports/BRANCH-vos4-legacyintegration-STATUS.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,voiceos-master-code-index,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/documentation-control/VoiceOS-MASTER_CODE_INDEX-52210-V1.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/documentation-control/VoiceOS-MASTER_CODE_INDEX-51510-V1.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,voiceos-document-control-master,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/documentation-control/VoiceOS-DOCUMENT-CONTROL-MASTER-52210-V1.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/documentation-control/VoiceOS-DOCUMENT-CONTROL-MASTER-51510-V1.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,voiceos-proposal,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/ideacode/features/003-nlu-based-command-disambiguation-with-user-confirmation-using-ava-s-intentclassifier/VoiceOS-proposal-51711-V1.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/ideacode/features/001-fix-dynamic-command-fallback-and-fk-constraint-violations-in-voicecommandprocessor/VoiceOS-proposal-51711-V1.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
