label,normalized_topic,source_path,suggested_canonical,bucket,action,reason
2026-02-10-wave5d-recovered,voiceos-changelog,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/modules/VoiceOsLogger/changelog/VoiceOS-CHANGELOG-51510-V1.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/modules/VoiceCursor/changelog/VoiceOS-changelog-52310-V1.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,claude,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/references/ideadev-methodology/CLAUDE.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/CLAUDE.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,avu-universal-format-spec,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/specifications/AVU-UNIVERSAL-FORMAT-SPEC.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/specifications/AVU-Universal-Format-Spec-260122-V2.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,documentation-cleanup-plan,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/project-management/DOCUMENTATION-CLEANUP-PLAN.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/reorganization-backup-20251015-122542/DOCUMENTATION-CLEANUP-PLAN.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,documentation-merge-strategy,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/reports/DOCUMENTATION-MERGE-STRATEGY.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/reorganization-backup-20251015-122542/voiceos-master/project-management/documentation-merge-strategy.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
