label,normalized_topic,source_path,suggested_canonical,bucket,action,reason
2026-02-10-wave5d-recovered,vos4-initialization-framework-implementation-guide,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/implementation/VOS4-Initialization-Framework-Implementation-Guide.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/reorganization-backup-20251015-122542/voiceos-master/implementation/vos4-initialization-framework-implementation-guide.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,vos4-initialization-implementation-guide,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/implementation/VOS4-Initialization-Implementation-Guide.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/reorganization-backup-20251015-122542/voiceos-master/implementation/VOS4-Initialization-Implementation-Guide.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,speechmanagerimpl-implementation-report-251015-0359,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/implementation/SpeechManagerImpl-Implementation-Report-251015-0359.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/reorganization-backup-20251015-122542/voiceos-master/implementation/SpeechManagerImpl-Implementation-Report-251015-0359.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,voiceos-4-user-manual-complete,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/user-manual/VoiceOS-4-User-Manual-Complete-51310-V1.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/reorganization-backup-20251015-122542/voiceos-master/user-manual/VoiceOS-4-User-Manual-Complete-51310-V1.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,vos4-master-inventory,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/reference/VOS4-Master-Inventory.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/reorganization-backup-20251015-122542/voiceos-master/reference/VOS4-Master-Inventory.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
