label,normalized_topic,source_path,suggested_canonical,bucket,action,reason
2026-02-10-wave5d-recovered,voiceos-standards-vos4-architecture,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/ProjectInstructions/VoiceOS-Standards-VOS4-Architecture-52210-V1.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/project/VoiceOS-Standards-VOS4-Architecture-51711-V1.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,voiceos-protocol-vos4-documentation,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/ProjectInstructions/VoiceOS-Protocol-VOS4-Documentation-51711-V1.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/project/VoiceOS-Protocol-VOS4-Documentation-51711-V1.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,voiceos-bugs,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/ProjectInstructions/VoiceOS-bugs-51711-V1.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/project/VoiceOS-bugs-51711-V1.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,voiceos-protocol-vos4-pre-implementation-qa,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/ProjectInstructions/VoiceOS-Protocol-VOS4-Pre-Implementation-QA-51711-V1.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/project/VoiceOS-Protocol-VOS4-Pre-Implementation-QA-51711-V1.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,voiceos-reference-vos4-documentation-structure,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/ProjectInstructions/VoiceOS-Reference-VOS4-Documentation-Structure-51711-V1.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/project/VoiceOS-Reference-VOS4-Documentation-Structure-51711-V1.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
