label,normalized_topic,source_path,suggested_canonical,bucket,action,reason
2026-02-10-wave5d-recovered,architecture,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/old-structure/architecture/core/ARCHITECTURE.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/Architecture/ARCHITECTURE.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,voiceos-agent5-lifecycle-test-status,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/VoiceOS-AGENT5-LIFECYCLE-TEST-STATUS-52711-V1.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/VoiceOS-AGENT5-LIFECYCLE-TEST-STATUS-52611-V1.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,blockers,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/BLOCKERS.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/BLOCKERS.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,voiceos-voicerecognition-status-report,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/VoiceOS-VoiceRecognition-Status-Report-51711-V1.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/modules/voice-recognition/status/VoiceOS-VoiceRecognition-Status-Report-51711-V1.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,voiceos-session-context,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/VoiceOS-SESSION-CONTEXT-50311-V1.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/VoiceOS-SESSION-CONTEXT-50111-V1.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
