label,normalized_topic,source_path,suggested_canonical,bucket,action,reason
2026-02-10-wave5d-recovered,docs-sync-quick-reference,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/reports/DOCS-SYNC-QUICK-REFERENCE.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/reorganization-backup-20251015-122542/voiceos-master/project-management/docs-sync-quick-reference.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,migration-tracking-table,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/project-management/MIGRATION-TRACKING-TABLE.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/reorganization-backup-20251015-122542/voiceos-master/project-management/migration-tracking-table.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,build-diagnostic-report-2025-09-07,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/project-management/build-reports/Build-Diagnostic-Report-2025-09-07.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/reorganization-backup-20251015-122542/voiceos-master/project-management/build-reports/Build-Diagnostic-Report-2025-09-07.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,proposed-claude,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/project-management/proposals/PROPOSED-CLAUDE-V2.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/reorganization-backup-20251015-122542/voiceos-master/project-management/proposals/PROPOSED-CLAUDE-V2.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,precompaction-report-250903-0415,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/status/PRECOMPACTION-REPORT-250903-0415.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/reorganization-backup-20251015-122542/voiceos-master/status/PRECOMPACTION-REPORT-250903-0415.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
