label,normalized_topic,source_path,suggested_canonical,bucket,action,reason
2026-02-10-wave5d-recovered,voiceuing-complete-guide,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/voiceuiNG-archived-20250902/VoiceUING-Complete-Guide.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/voiceuiNG-archived-20250902/VoiceUING-Complete-Guide-v2.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,vos4-changelog-master,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/changelog/VOS4-Changelog-Master.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/backups/2025-09-07/docs-backup-20250907-092923/voiceos-master/changelog/VOS4-Changelog-Master.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,architecture-guide,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/architecture/ARCHITECTURE_GUIDE.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/old-structure/architecture/core/ARCHITECTURE-GUIDE.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,voiceos-service-refactoring-todo,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/tasks/VoiceOS-Service-Refactoring-TODO-51610-V1.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/tasks/VoiceOS-Service-Refactoring-TODO-51510-V1.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,voiceos-service-refactoring-status,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/status/VoiceOS-Service-Refactoring-Status-51610-V1.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/status/VoiceOS-Service-Refactoring-Status-51510-V1.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
