label,normalized_topic,source_path,suggested_canonical,bucket,action,reason
2026-02-10-wave5d-recovered,vos4-testing-automation-guide,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/testing/VOS4-Testing-Automation-Guide.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/reorganization-backup-20251015-122542/voiceos-master/testing/vos4-testing-automation-guide.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,hilt-di-setup-251015-0333,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/testing/Hilt-DI-Setup-251015-0333.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/reorganization-backup-20251015-122542/voiceos-master/testing/Hilt-DI-Setup-251015-0333.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,wrapper-pattern-implementation-251015-0254,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/architecture/Wrapper-Pattern-Implementation-251015-0254.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/reorganization-backup-20251015-122542/voiceos-master/architecture/Wrapper-Pattern-Implementation-251015-0254.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,vos4-findings-and-solutions-report,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/architecture/VOS4-Findings-and-Solutions-Report.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/reorganization-backup-20251015-122542/voiceos-master/architecture/vos4-findings-and-solutions-report.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
2026-02-10-wave5d-recovered,uiscrapingservice-implementation-summary-251015-0415,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/voiceos-master/implementation/UIScrapingService-Implementation-Summary-251015-0415.md,/Volumes/M-Drive/Coding/NewAvanues/Docs/VoiceOS/Technical/Archive/reorganization-backup-20251015-122542/voiceos-master/implementation/UIScrapingService-Implementation-Summary-251015-0415.md,B,needs_manual_review,Recovered queue item in Docs/VoiceOS scope; staged for manual review.
